title,address,description,compensation,employment type
CAD Draftsmen,Queens,"Well established construction millwork, general contractor company located in Maspeth NY is looking for an experienced CAD Draftsmen flexible part-time schedule 

Responsibilities and Duties
•    Create 3D renderings (interior) 
•    Create shop drawings CAD ( furniture drawings) 
•    Participates in job site visits
•    taking measurements
•    Manage multiple jobs




Requirements:
•    Art, Architecture, Interior Design or Construction Science/Engineering education preferred
•    2+ years’ experience in CAD drafting, AutoCAD 3, Sketch Up, Solid Works for an Architectural Firm or Mill Work Company.
•    Create 3D renderings (interior)
•    Knowledge of programming CNC machinery for wood fabrication. Mozaik software (a plus)
•    Knowledge of the NYC Building Code
•    Understanding of building materials and typical means and methods of construction
•    Knowledge of the polish language ( a plus)


Benefits:

•    Flexible schedule
•    Competitive wages
•    Part-time 
How to apply :
Please send your resume as an answer to the post.
Our company is an equal opportunity employer and prohibits discrimination and harassment based on race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age.",attractive salary,part-time
MECHANICAL ENGINEER,Midtown,"MECHANICAL ENGINEER with BSME and 5+ years experience
in commercial, residential or healthcare projects. 
HVAC and Building Information Modeling experience a plus.
Permanent. Full time. Excellent benefits.

HANK DEVITO

EMAIL: Hank11214@hotmail.com
TEL: Juliana at 718-449-5749","$120,000-130,000",full-time
Seeking Intermediate Level Architects,Queens,"Internationally renowned, Queens based Architectural Firm, 
seeks Intermediate Level Architects.
Candidates should be self-starters, and have 
working knowledge of AUTO-CAD and Revit (BIM) Programs.",To be discussed,full-time
Certified Water Technologist & Cooling Tower 7G Pesticide Applicator,New York City,"We are an environmental engineering consulting company. At present, we want to expand our portfolio of services in New York City metropolitan area and increase our market penetration. We are seeking to fill two positions: Certified Water Technologist & Cooling Tower 7G Pesticide Applicator

1.         We are seeking a highly motivated and experienced 1099 Independent Certified Water Technologist contractor to join our growing team.

Requirements:

-  Minimum of 3 Years’ experience as a certified water technologist
-  Develop comprehensive NYC cooling tower maintenance and program plan
-  Conduct cooling tower inspections
-  Provide guidance about particular chemical dosages for every cooling tower

Education:

- 2 Year Technical degree or advanced
- Certification as a Certified Water Technologist

Job Type:

- 1099 Contract

Compensation:

- To be discussed (What's your expected salary?/ What's your hourly rate?

For immediate consideration, please email your resume and salary requirements.

------------------------------------------------------------------------------------------------------------------


2.         We are seeking a highly motivated and experienced 1099 Independent 7G Cooling Tower Pesticide Applicator contractor to join our growing team.


Requirements:

- 7G Pesticide License
- Minimum of 3 Years’ experience in Cooling Tower Treatment
- Effectively complete assigned tasks in a punctual manner
- Experience in the installation of cooling tower controller
- Perform cooling tower disinfection
- Demonstrate mechanical aptitude
- Handle cooling tower chemicals
- Must be able to lift 50 lbs.
- Must be able to work in a variety of conditions to include dusty locations, freezing conditions and hot conditions
  Safely scaling ladders to access equipment
- Commuting to and from New York Metropolitan area

Education:

- 2 Year Technical degree or advanced
- 7G Pesticide License

Job Type:

- 1099 Contract

Compensation:

- To be discussed (What's your expected salary?/ What's your hourly rate?)

For immediate consideration, please email your resume and salary requirements.",To be discussed (What's your expected salary?/ What's your hourly rate?),contract
Architect AutoCAD,Maspeth,"Busy Queens Architectural firm [www.ArchitectsStudioNY.com] seeking an Intermediate CAD Draftsperson with project mgmt duties for new mid-rise Residential/Commercial base buildings, alterations and Interior Renovation projects. 

The  individual will work directly with the Principal Architect to manage and administer each phase of the project, and coordinate incoming and outgoing information on a day-to day basis. 

Qualifications:
-Multi-tasker - capability to manage multiple projects simultaneously
-Knowledge in Construction Details
-Ability to efficiently manage project hours
-Knowledge of NYC Building Codes, NYC Zoning Ordinances
-Full engagement of projects
-Knowledge of NYC Zoning Resolution, NYC Building Codes, ADA Regulations
-Able to work under pressure to meet deadlines
-Primarily an office-based position but some travel required for project meeting and other related duties
-Proficient drafting skills using AutoCAD, including layer management
-3D & Computer Rendering skills is a +.
-Minimum 3 years of construction technical work experience 


Ideal candidates are those looking for growth through long-term employment and must be able to work overtime when required. Firm offers health benefits and 401K participation opportunity.  PLEASE ANSWER ONLY IF YOU LIVE IN THE AREA (NYC) & CAN WORK LEGALLY IN THE U.S.

Email cover letter  and resume [in pdf format] with desired compensation to us with confidence. Any other format will not be viewed.  Please indicate CAD under subject line on email.",Based on experience,full-time
HVAC Counter Sales / Customer Service / Estimator,Park Slope,"HVAC Rep/Distributor is looking for an inside-sales associate to join our company.  We have been in business since 1963 due in part to the hard work & dedication of our employees.  We are looking to add the right person to our team. You should be interested in a long-term career and be technically minded with a willingness and ability to learn.


Responsibilities:

-Answer phone calls & emails
-Help customers with product selections
-Prepare customer quotations
-Review mechanical drawings
-Prepare engineering submittals
-Create factory purchase orders


Requirements:

-Good Communication & telephone skills
-Computer literate (MS Office) 
-Be a team-player 
-Ability to multi-task 
-Must be punctual (7:30 am)
**Must be technically minded or a logical thinker**

Engineering Degree or Trade School Certificate preferred but not required.
Previous experience in the HVAC industry preferred but will train the right person.

The position is full-time M-F 7:30-4:30 
401K & Medical 

Please send COVER LETTER and resume.",65k-75k DOE,full-time
Low Voltage Estimator needed,,"We are looking for a low voltage estimator.

Job Responsibilities:

Assist in preparing low voltage estimates by assigning material and labor values to take-offs.
Assist with preparing quantity take-offs of low voltage systems.
Identify missing information in plans and specs that might impact accurate pricing
Prepare spreadsheets logs and reports and document your work
Create take-off documents, participate in bid reviews, and calculate material, labor, and expense needs.
Effectively utilize company suppliers and contractors to meet bid requirements.
Complete material and labor count.
Conducting project take-offs to determine equipment counts based upon project specifications and drawings
Develop to become competent with reviewing drawings and specifications and preparing detailed estimates, including assigning material and labor values to take-off under guidance of others.
Prepare, maintain and present computer generated spreadsheets, logs and reports.
Perform quantity takeoffs and assist with preparing estimates
Read and comprehend construction documents

Qualifications:

Competent with reviewing drawings and specifications
Knowledge with (PDF annotation software) or similar software.
Strong Excel or similar spreadsheet software skills
Some knowledge in low voltage systems",Based on Experience,full-time
Architects-Drafters: ALL LEVELS,"Englewood, NJ","Prominent Restaurant Design Firm seeking immediate hire of a talented drafter who is bright and motivated to become a valued member of our small but growing team! With a strong desire to learn there is room for growth with this position.

Our Firm specializes in commercial restaurants in the tri-state area, and primarily NYC. Tasks will be for all stages of projects from site surveying & schematic layouts, to developing construction documents and filing with the department of buildings.

Qualifications/Requirements:
Strong knowledge of AutoCAD a MUST (AutoCAD Architecture a plus)
Experience working in an Architecture office
Knowledge of Construction Documents and Drafting Procedures
Ability to work with minimal supervision

Responsibilities:
Support team with all phases of projects
Must be flexible and dedicated to meet deadlines
Must be detail oriented and diligent in assuring work is done correctly
Professional communication skills are a must
Ability to work under tight deadlines and switch priorities as needed

Attributes:
Ability to follow instruction
Excellent work ethic
Deadline and detail oriented
Must be able to problem solve

Previous experience with commercial alteration filings in NYC and familiarity with DOB filing procedures is a plus. 

To apply, please send resume, salary expectations, and available start date.

*Please note this position is located in Northern NJ and is accessible by car or bus only. Please apply only if you are able to easily commute.",Commensurate with Experience,full-time
Design Director / Hospitality (Brand),Gramercy,"Hospitality brand with global footprint, delivering the highest quality guest experience - seeks Global Design Director to work directly with VP of Design and SVP Development in the execution of several large scale projects in various stages of design, ongoing in the US and Asia. 
Will will work with top-line management in the development of strategy, planning, design direction, review and selection of all design consultants, oversight and management of all work produced. Will have several direct reports including but not limited to FF&E team, Project Managers and Sr. Managers executing various elements of the program. Will establish goals (budget and schedule) and hold all partners accountable. Will hold all parties to the highest standard of excellence in design and be capable of communicating a clear vision or philosophy to the entire team. 

Requirements: 10+ years experience in hospitality design, experience managing teams and executing high profile, completed projects. Demonstrated experience maintaining brand consistency and enhancing brand position through strategic design objectives. Must demonstrate strong communication and organization abilities. Ability to build teams, set high standards and achieve goals. 

*Must be capable of heavy travel schedule. Open to relocation.",250 - 300K+ Total compensation,full-time
Assistant Project Manager,Chelsea,"Job Description:

The Assistant Project Manager will be an integral part of Think Construction, working directly with Project Managers to ensure that every job runs seamlessly. Extreme attention to detail and superior organization are key. The daily responsibilities of the Assistant Project Manager will include maintaining the flow of information between our company and architects, clients, and subcontractors. Candidates must work closely with our site and office teams and will be accountable for the trafficking of all project-related communications--fielding questions, providing submittals, creating schedules, keeping meeting minutes, and more. 
Excellent written and verbal communication skills, as well as superior planning and organizational abilities, are required. At Think Construction, we believe strongly in promoting a positive, respectful, supportive, collegial, and collaborative work environment. We believe in creating a work environment that encourages hard work, professionalism, and opportunities for continued learning and growth. We look for candidates who share our vision.

Job Responsibilities:

• Schedule/attend coordination meetings with subcontractors and suppliers
• Obtain pricing and lead time from suppliers/subcontractors
• Track/adjust project schedule and submittals
• Monitor/record/distribute design changes that affect workflow, schedule and budget
• Prepare and execute fixture and material orders 
• Assemble change orders and maintain budget
• Analyze blueprints and prepare estimates 
• Prepare submittals and RFIs for transmittal to architects and designers
• Liaise with architects, site-supers, sub-contractors, and vendors to coordinate work and traffic
• Record and issue minutes of field meetings

Job Requirements:

• Strong organizational skills and attention to detail
• Ability to consistently multi-task in several capacities on a variety of projects
• Aptitude for meeting deadlines and facilitating others to do so as well
• Proficiency in Microsoft Excel, Word and Adobe Acrobat
• Some experience reading blueprints and specifications
• Familiarity with Procore is a plus",TBD,full-time
"Misc, Steel draft person apprentice or pro/ p/t",college point or remote,"We are seeking someone who can go through job/bid drawings and do quantity takeoffs and preliminary shop/cad drawings for misc steel,such as staircases, railings, roof dunnage,fixed ladders,coiling doors,etc etc.Arch or engineering students with some experience welcome.20-30 flex hours a week to start.Please apply in detail with skills.",15 hour,part-time
Autocad person wanted for immediate hire!!!,College point,"Zusto Architectural metal and glass company in Queens is seeking a full time auto cad designer and estimator for immediate start.

Must have experience in producing shop drawings for fabrication of all types of architectural projects. Some estimating, experience, ability to purchase materials off shop drawings and some office management of projects in progress.

Please only respond if you have experience in these areas!!!!!!!

This is a full time position Monday through Friday 
Serious inquiries only!!!

Salary to be determined upon experience 

Call Robert 917-417-5998",Tbd,full-time
Construction Superintendent Needed,FRESH MEADOWS,"One residential alternation 1 job needs a construction superintendent. 
Add a level to existing single family house. 
8-12 months project.

Need a licensed NYC Construction Superintendent for permit. 
$1,000/month until job is done.","$1,000/month.",part-time
Intermediate Architect | Residential Interiors,Midtown East,"Project Management/Leadership Role

Responsibilities also include hands on construction document production using AutoCAD or Revit.
Manage Team.
Manage Projects.
Professional Growth!

High Profile New York City substantial multi-family residential architectural interiors projects.

Candidate must have New York City multi-family residential project experience.
New York City DOB approvals and code and zoning experience is required.
A professional degree in Architecture from an accredited university is a pre-requisite.

Please submit a PDF attachment with your resume, work samples, availability plus base salary requirement in consideration for an immediate interview.

Thank you!",75-85K base salary plus benefits package.,full-time
Drafting Position - SSP/TPP/OPP's - Experienced with AutoCad,Midtown West,"We are a construction consulting firm with a Full Time position open for an AutoCad Drafter and Code Consultant.

We are willing to teach the ropes to the right candidate but candidate must be proficient in AutoCad and have a good grasp of the English language.
 
The candidate selected will be working with staff to measure job sites and prepare:
 
•         Existing conditions site plans;
•         Staging and logistics plans for presentation to the NYC Department of Transportation.
•         Site Safety Plans for work required to comply with Chapter 33 of the NYC Building Code.
•         Occupant Protection Plans for submission to the NYC Department of Buildings.
•         Tenant Protection Plans for submission to the NYC Department of Buildings.
•         Construction equipment plans.  
•         Temporary Place of Assembly Plans.  
 
Candidate will be working from our office near Penn Station, Manhattan and will use the latest version of AutoCad.
 
 
Please reply with resume, sample drawings, and salary requirement.


KEY WORDS: SITE SAFETY, OCCUPANT PROTECTION PLANS, TENANT PROTECTION PLANS, AUTOCAD, DRAFTING, EXPEDITING, CONSTRUCTION, PLAN DRAFTING, DOB, DOT, FDNY","Salary, Major Medical, Dental Stipend, paid sick leave, incentives, etc.",full-time
Architectural Associate/CAD drafter,Brooklyn,"LOOKING TO HIRE EXPERIENCED ARCHITECT/ DRAFTER MUST KNOW AND BE ABLE TO DO NYC ZONING CALCULATIONS, CODES REVIEW AND PLAN REQUIREMENTS FOR DOB SUBMITTAL FAMILIAR WITH DOB PAPERWORK. CLASS TWO DOB ID IS A PLUS. 

REQUIREMENTS:
- Must have 5-year Bachelor of Architecture degree and minimum 3 years working experience in single family residential design and mixed-use buildings 
- Must have knowledge of NYC zoning and building codes
- Must be able to develop design concepts into a full set of construction drawings independently
- Must be a very organized team player with excellent communication skills. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants
- Strong AutoCad skills 
- Must have or be able to secure a DOB Expediters License.
- Must be able to manage multiple projects EMAIL YOUR RESUME.",Negotiable,full-time
Expeditor/Project Manager,Brooklyn,"Job Description

Reporting to the Architect/Owner responsible for:
Managing architectural and construction projects from pre-filing to sign-off. Coordinate and manage required items list and squad leaders list at Manhattan Borough office.
Work directly with clients to expedite general filings, corrections, submissions, payments, etc.
Manage DOB HUB and DOBNOW filings
Filing work permits and Processing Temporary Certificates of Occupancy applications. Manage and Track Temporary Elevator sign-offs for Temporary Certificates of Occupancy.
Manage and updated 18 Month Construction inspections sign-offs
Coordinating the payment at the the Department of Buildings
Regularly work with other city agencies to process various documents related to construction projects in the five boroughs.
Interact effectively with city agency officials and company clients.

Requirements:

Associates Degree, Architecture or Engineering preferred but not required.
High level of organization, planning, prioritization and attention to detail.

Salary:
$45,000.00-$50,000.00

Benefits:
Paid Vacation
Paid Sick/Personal Days
401k and Company match
Unlimited Metro card

Job Type: Full-time",Salary and Benifits,full-time
Restoration Project Manager,,"Brooklyn based Restroration Building company seeking a Project Manager with 5-10 years of experience in managing landmark preservation construction projects through all phases including scope of work and budget development, scheduling, condition assessment and reporting, construction document review (drawings and specifications), and construction administration.

The Project Manager will be responsible for the assessment and restoration of masonry, steel, and reinforced concrete structures; façade & roofing repairs and replacement; LPC submission, inspections and reporting.

The construction team works with the leading architects and engineers in building restoration to execute complex and difficult projects. They provide innovative restoration, preservation and building solutions to the owner, building manager, preservationist, architect or engineer in every phase of planning, production and project management.

Great office culture. Exceptional benefits. Perfect time to join a growing firm with a stellar reputation.",$100-125k,full-time
FULL TIME JUNIOR ARCHITECT,Upper West Side,"A growing New York City based, boutique architectural & interior design firm seeks to hire a full time Junior Architect to work on multiple high-end residential projects. The applicants must have related experience for the Junior Architect's position in New York City with knowledge of residential detailing, shop drawings and superior AutoCAD skills. The qualified candidates will need to be enthusiastic, hard working, well-organized and highly motivated w/excellent verbal and written communications skills.

Candidates will work from company's office with the firm's principal and team to produce highly detailed designs, construction documents and manage all aspects of architectural projects during construction. Supervision available to assist w/completion of NCARB Intern Development Program.

Only those with an architectural degree and with experience in high-end residential construction and detailing will be considered. In addition, experience with interior design and furnishings, a good knowledge of fine fabrics and furniture and first hand experience with D&D Building & NYC area vendors is a bonus, but not required.",Salary Commensurate w/Experience,full-time
Cost Estimator/ Assistant Project Manager,Midtown,"Position Type:
Internship (Includes Part-Time & Full-Time Internships)

Description:
Willing to train/have the ability of the following: 

-Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.

-Interpret plans and construction materials to propose and double-check estimates.

-Identify and resolve deviations from the proposal, including scope and specifications.

-Help with pricing schedules, participate in proposal preparation, and perform technical assessments to facilitate analysis functions.

-Assist the Project Manager in all phases and aspects of the project.

-Provide support to Field Staff.

-Communicate with site superintendents about delays and any other issues that must be communicated to clients.

-Must have strong organizational skills, have excellent problem-solving abilities, and pay strong attention to detail.

-Should be able to work effectively with other estimators, but also perform well on their own with minimal supervision.

-Must follow project specifications and any relevant confidentiality rules.

-Have proficiency in Excel, Microsoft, and Adobe Acrobat Reader


Location
New York, New York United States


Desired Major(s):
Engineering/Civil Engineering, Engineering/ Construction Management

Job Function:
Construction & Trades

Compensation:
Paid

****************Please submit resume for review**************************",18 per hour,full-time
Architectural Designer,Downtown,"Boutique Interior Architecture and Design studio seeks Architectural Designer/ Draftsperson.

This is a freelance position. You will work directly with Principal to complete CD-Set for a townhouse renovation in the New York area. Position will extend in to construction phase, including site visits, meeting minutes and contractor coordination. 

Requirements:
AutoCad (2017 preferred), Microsoft Office, InDesign, Acrobat and Photoshop. 
Extensive experience creating CD sets and specification packages. Including minimalist door and millwork details.
Extensive experience with job site supervision
Strong communication skills
Minimum 4-6 years experience

Please email resume with 3 samples of your work.","Hourly, commensurate with experience.",part-time
Mechanical Engineer,Brooklyn,"National recognized high end manufacturer of luxury bath fittings,faucets,shower heads and accessories seeks a mechanical engineer.

Candidate must have strong skills with Solidworks.   Position entails interaction with manufacturing and product design.

A minimum of 2 years experience required.

Excellent opportunity for fast growth and  full benefit package.","$60,000",full-time
ARCHITECT / DRAFTER,,"Busy Design office is looking for a talented ARCHITECT / DRAFTER  to join our team.

Our work includes renovations and ground ups of small, medium and large scale single and multi-family residential, commercial, community facility and mixed-use projects. 

Responsibilities will include production of design development and construction documents, Candidates must be self-motivated, reliable and able to manage all aspects of a project.

Candidate Qualifications:
Be familiar with NYC codes and zoning.
Knowledge of construction materials, details and methods.
Proficiency in Revit and AutoCAD.

We are looking for highly motivated individuals who are willing to take on responsibility and grow with our team. Interested applicants must be quick to learn and adapt new drawing methods, related zoning & code rules, DOB and related agency requirements. detail-oriented, collaborative, and eager to take on challenges

Qualified individuals should submit a *brief description of your qualifications, *work samples, *starting salary requirements, in pdf or word format",Based on qualification,full-time
NYC DOB Expeditor Project Manager Filing Representative,Downtown,"NYC DOB Class 1 or 2 Full time or nothing if you can prepare applications.

We service only Manhattan and Brooklyn applications. 

Salary based upon experience. MUST know DOB BIS, NOW and HUB online filings and how jobs are structured and filed. Must know the processes,,,

Must know document preparation, must be familiar with filing necessary agency forms. PW1, PW2, SCH B, SCH A, etc. From owners info to permit you need to know the process.

Candidate must be competent to understand filing processes and be able to accomplish things on their own. 

Search words DOB, DOT, ECB, HPD FDNY , PERMITS, EXPEDITING, MANAGER,  EXPEDITOR, FILING, VIOLATION, DEPARTMENT OF BUILDINGS, CLASS 1 , CLASS 2  

Salary $40,00 to $70,000, 10 paid days per year + National holidays.

If you don't know what your doing don't apply. You will be tested during your interview.",Based upon experience and knowledge,full-time
Special Inspector (Concrete),,"Brooklyn based Class 1 special inspection firm seeking a Special Inspector.

JOB FUNCTIONS
This position will be responsible for performing or witnessing special inspections on New York City construction projects, including mid to high rise buildings.

Candidate will be required to prepare reports on inspection activities, file documentation and complete required technical report forms in accordance with New York City Construction Codes.

QUALIFICATIONS:
Must have ""ACI Concrete field testing technician"" certification.

Must have one of the following certifications;
-ICC reinforced concrete special inspector
or
-ACI concrete construction special inspector

Strong oral and written communication skills; ability to communicate in English. Follow directions, and interpret engineering and construction plans.",Competitive compensation based on skills/experience,full-time
Construction Project Manager,Westchester,"The ideal candidate will have a proven track record in the following:
•	5-10 years experience as a Project Manager working in Commercial & Residential construction.
•	Managing multiple projects concurrently from start to finish, including estimating and pre-construction.
•	Coordinating with the Superintendent and subcontractors to develop the project schedule.
•	Reviewing drawings, plans and specifications to create scopes of work and execute contracts.
•	Reviewing submittals including shop drawings.
•	Review and process subcontractor submittals for adherence to the specifications.
•	Managing of project document logs to include RFI's, Transmittals, and Submittals.
•	Managing the Owner and Architect including OAC meetings and creating of minutes.
•	Tracking all permits to ensure project schedule is not impacted.
•	Managing project close out, O&M’s, warranties, lien releases, punch list items, extra products 
        and key control.
•	Manage all sides of the project financially including contracts, projections, billings etc.
•	Must have experience using Microsoft Outlook, Excel and Word.
•	Must have OSHA 10/30.
•	Must be a great communicator with customers, subs, suppliers and headquarters.
•	Excellent at successfully resolving job site and direct report conflicts.
•	Must be flexible and able to work in loud busy environments.
•	Must be positive person with upbeat attitude at all times.
•	Must be punctual, dependable and efficient.
•	Must come from a place of yes.
•	Must be a problem solver and able to take initiative.
•	Strong organizational skills, detail oriented, ability to multi-task & remain effective in high paced   
        environment.
•	Must have excellent English communication skills, both orally and written.
•	Must be a US resident.",TBD,full-time
lay-out person needed in Iron Shop,"Brooklyn,N.Y","Lay -out person is needed in  Iron shop to mark beams and other miscellaneous steel items needed for constructions, some experience is necessary.","vacations, all legal holidays..etc",full-time
Change Management -Design Strategy for Architecture Firm,Midtown West,"Title:Senior Workplace Strategy + Change Management - Full Time Employee Career Position

Company Description:New York City office of architecture and design studio that focuses upon creative, world class workplace interiors projects.

Brief Overview: 
Influence and guide change, providing strategies and tools to support workplace, end-user behavior,  work practice, culture, and technology transformations. 
Develop and deliver changes in employee experience & workplace design solutions. 
Conduct research and user-centered design thinking activities, experiential workshops, journals, ideation and prototyping. Develop and implement change management strategies. 
Participate in industry events, networking and relationship building to advance customer relationships.  
Requirements include:
Completion of higher education degree in a related field of study.
8+ years of related leadership experience in workplace strategy, change management, or corporate psychology.  Related experience in design, real estate analysis or portfolio planning. 
Organizational development and/or change management experience. 
**PROSCI certification a plus**","Approximately 130K, base salary negotiable depending upon years and level of prior experience.",full-time
